1,0,4,-87084,87078,5,-87084,87078,0,0,0,0
2,1354,36488,-98688,61998,36488,-98688,61998,0,0,0,0
3,2708,67643,-96745,28731,67643,-96745,28731,0,0,0,0
4,4062,89441,-81574,-8357,89441,-81574,-8357,0,0,0,0
5,5416,99036,-55154,-44422,99036,-55154,-44422,0,0,0,0
6,6770,95106,-20885,-74741,95106,-20885,-74741,0,0,0,0
7,8124,76467,16612,-93498,76467,16612,-93498,0,0,0,0
8,9478,47606,51476,-99344,47606,51476,-99344,0,0,0,0
9,10832,12328,79182,-91580,12328,79182,-91580,0,0,0,0
10,12186,-24761,96113,-71218,-24761,96113,-71218,0,0,0,0
11,13540,-58812,99986,-40855,-58812,99986,-40855,0,0,0,0
12,14894,-83768,88401,-4178,-83768,88401,-4178,0,0,0,0
13,16248,-97076,64898,32704,-97076,64898,32704,0,0,0,0
14,17602,-97057,32593,64991,-97057,32593,64991,0,0,0,0
15,18956,-83714,-4296,88465,-83714,-4296,88465,0,0,0,0
16,20310,-58715,-40961,99995,-58715,-40961,99995,0,0,0,0
17,21664,-24644,-71294,96070,-24644,-71294,96070,0,0,0,0
18,23018,12445,-91623,79108,12445,-91623,79108,0,0,0,0
19,24372,47711,-99350,51377,47711,-99350,51377,0,0,0,0
20,25726,76551,-93467,16497,76551,-93467,16497,0,0,0,0
21,27080,95132,-74654,-20997,95132,-74654,-20997,0,0,0,0
22,28435,99017,-44312,-55246,99017,-44312,-55246,0,0,0,0
23,29789,89387,-8237,-81639,89387,-8237,-81639,0,0,0,0
24,31143,67560,28846,-96776,67560,28846,-96776,0,0,0,0
25,32497,36382,62099,-98682,36382,62099,-98682,0,0,0,0
26,33851,-113,87121,-87009,-113,87121,-87009,0,0,0,0
27,35205,-36585,98688,-61905,-36585,98688,-61905,0,0,0,0
28,36559,-67719,96709,-28621,-67719,96709,-28621,0,0,0,0
29,37913,-89487,81503,8469,-89487,81503,8469,0,0,0,0
30,39267,-99046,55055,44528,-99046,55055,44528,0,0,0,0
31,40621,-95045,20760,74800,-95045,20760,74800,0,0,0,0
32,41975,-76375,-16733,93523,-76375,-16733,93523,0,0,0,0
33,43329,-47492,-51583,99332,-47492,-51583,99332,0,0,0,0
34,44683,-12203,-79264,91531,-12203,-79264,91531,0,0,0,0
35,46037,24886,-96162,71138,24886,-96162,71138,0,0,0,0
36,47391,58904,-99962,40734,58904,-99962,40734,0,0,0,0
37,48745,83830,-88342,4053,83830,-88342,4053,0,0,0,0
38,50099,97102,-64812,-32822,97102,-64812,-32822,0,0,0,0
39,51453,97047,-32488,-65088,97047,-32488,-65088,0,0,0,0
40,52807,83668,4409,-88537,83668,4409,-88537,0,0,0,0
41,54161,58618,41055,-99995,58618,41055,-99995,0,0,0,0
42,55515,24535,71362,-96033,24535,71362,-96033,0,0,0,0
43,56869,-12554,91659,-79038,-12554,91659,-79038,0,0,0,0
44,58223,-47808,99350,-51283,-47808,99350,-51283,0,0,0,0
45,59577,-76626,93431,-16389,-76626,93431,-16389,0,0,0,0
46,60931,-95143,74556,21103,-95143,74556,21103,0,0,0,0
47,62285,-98991,44194,55333,-98991,44194,55333,0,0,0,0
48,63639,-89326,8112,81697,-89326,8112,81697,0,0,0,0
49,64993,-67468,-28966,96800,-67468,-28966,96800,0,0,0,0
50,66347,-36269,-62205,98670,-36269,-62205,98670,0,0,0,0
51,67701,238,-87169,86928,238,-87169,86928,0,0,0,0
52,69055,36699,-98700,61799,36699,-98700,61799,0,0,0,0
53,70409,67811,-96684,28501,67811,-96684,28501,0,0,0,0
54,71763,89549,-81445,-8594,89549,-81445,-8594,0,0,0,0
55,73117,99073,-54969,-44645,99073,-54969,-44645,0,0,0,0
56,74471,94999,-20647,-74870,94999,-20647,-74870,0,0,0,0
57,75825,76300,16842,-93559,76300,16842,-93559,0,0,0,0
58,77179,47395,51676,-99332,47395,51677,-99332,0,0,0,0
59,78533,12094,79332,-91495,12094,79332,-91495,0,0,0,0
60,79887,-24995,96198,-71068,-24995,96198,-71068,0,0,0,0
61,81241,-58979,99925,-40626,-58979,99925,-40626,0,0,0,0
62,82596,-83875,88271,-3940,-83875,88271,-3940,0,0,0,0
63,83950,-97113,64713,32926,-97113,64713,32926,0,0,0,0
64,85304,-97020,32371,65175,-97020,32371,65175,0,0,0,0
65,86658,-83607,-4534,88595,-83607,-4534,88595,0,0,0,0
66,88012,-58505,-41161,99983,-58505,-41161,99983,0,0,0,0
67,89366,-24410,-71443,95985,-24410,-71443,95985,0,0,0,0
68,90720,12679,-91708,78958,12679,-91708,78958,0,0,0,0
69,92074,47922,-99363,51178,47922,-99364,51178,0,0,0,0
70,93428,76718,-93406,16267,76718,-93406,16267,0,0,0,0
71,94782,95169,-74469,-21220,95169,-74469,-21220,0,0,0,0
72,96136,98980,-44090,-55431,98980,-44090,-55431,0,0,0,0
73,97490,89280,-8000,-81768,89280,-8000,-81768,0,0,0,0
74,98844,67392,29076,-96838,67392,29076,-96838,0,0,0,0
75,100198,36171,62298,-98669,36171,62298,-98669,0,0,0,0
76,101552,-347,87205,-86860,-347,87205,-86860,0,0,0,0
77,102906,-36796,98701,-61706,-36796,98701,-61706,0,0,0,0
78,104260,-67886,96647,-28392,-67886,96647,-28392,0,0,0,0
79,105614,-89594,81373,8707,-89594,81373,8707,0,0,0,0
80,106968,-99083,54870,44750,-99083,54870,44750,0,0,0,0
81,108322,-94937,20523,74930,-94937,20523,74930,0,0,0,0
82,109676,-76208,-16963,93585,-76208,-16963,93585,0,0,0,0
83,111030,-47281,-51782,99319,-47281,-51782,99319,0,0,0,0
84,112384,-11970,-79413,91446,-11970,-79413,91446,0,0,0,0
85,113738,25120,-96246,70988,25120,-96246,70988,0,0,0,0
86,115092,59071,-99900,40504,59071,-99900,40504,0,0,0,0
87,116446,83937,-88213,3816,83937,-88213,3816,0,0,0,0
88,117800,97139,-64627,-33044,97139,-64627,-33044,0,0,0,0
89,119154,97010,-32265,-65273,97010,-32265,-65273,0,0,0,0
90,120508,83561,4647,-88667,83561,4647,-88667,0,0,0,0
